# timestamp(s) tx ty tz qx qy qz qw 
1666059845.250323 -0.0927655 0.105813 8.94991 -0.047048 0.0674507 0.0089784 0.996572
1666059845.350323 -0.0974501 0.123045 9.1317 -0.0461066 0.0704541 0.00800923 0.996417
1666059845.450323 -0.0923431 0.13451 9.30538 -0.0453823 0.073291 0.00733569 0.996251
1666059845.550323 -0.0712114 0.156041 9.50656 -0.0475396 0.077981 0.00824683 0.995787
1666059845.650323 -0.0457934 0.178642 9.69213 -0.0492957 0.0913919 0.0101997 0.994542
1666059845.750323 -0.027396 0.197992 9.87581 -0.0471098 0.106069 0.00760016 0.993213
1666059845.850323 -0.00754843 0.214304 10.0518 -0.0463466 0.107529 0.00243942 0.993118
1666059845.950323 0.027352 0.228322 10.2273 -0.0467757 0.111331 0.00589541 0.992664
1666059846.050323 0.0647864 0.245938 10.4027 -0.043801 0.111539 0.00591508 0.992777
1666059846.150323 0.0923679 0.253302 10.5748 -0.0453368 0.11447 0.00434006 0.992382
1666059846.250323 0.128799 0.268544 10.7497 -0.0455155 0.115136 0.00425466 0.992297
1666059846.350323 0.16061 0.283936 10.9234 -0.0454884 0.116111 0.00372139 0.992187
1666059846.450323 0.192545 0.298297 11.1059 -0.0481311 0.117369 0.00149081 0.99192
1666059846.550323 0.222475 0.304583 11.2772 -0.0455977 0.119238 0.00149116 0.991817
1666059846.650330 0.255302 0.3157 11.4389 -0.0445422 0.122438 0.00298501 0.991472
1666059846.750350 0.267911 0.310584 11.5801 -0.04107 0.124185 0.00063069 0.991409
1666059846.850365 0.299091 0.346172 11.7657 -0.0533457 0.127912 -0.00185615 0.990348
1666059846.950379 0.354733 0.340892 11.9358 -0.0511325 0.128309 -0.00014244 0.990415
1666059847.050388 0.368822 0.345962 12.0971 -0.0577607 0.128112 -0.000283269 0.990076
